name,state_name,state_abbrev,slug,Median home price,Median rent,Population
Gilmore City,Iowa,IA,gilmore-city,53800,580,422
Dakota City,Iowa,IA,dakota-city,83400,725,846
Ulen,Minnesota,MN,ulen,100000,746,500
Beaverton,Oregon,OR,beaverton,376500,1338,97861
Wyandotte,Oklahoma,OK,wyandotte,64200,575,363
Haugen,Wisconsin,WI,haugen,97800,775,299
Huntsville,Ohio,OH,huntsville,121100,785,523
Reading,Ohio,OH,reading,129400,726,10353
Somerset,Ohio,OH,somerset,121400,600,1728
Lakeside Park,Kentucky,KY,lakeside-park,253200,833,2762
Melbourne,Kentucky,KY,melbourne,128700,475,511
Laredo,Texas,TX,laredo,129900,851,259151
Powell,Alabama,AL,powell,95000,602,1261
Milford,Nebraska,NE,milford,160300,655,2363
Winchester,Missouri,MO,winchester,142200,1210,1368
Brookport,Illinois,IL,brookport,53900,574,881
Clarkston,Georgia,GA,clarkston,122900,1024,12750
Chatham,Michigan,MI,chatham,106600,546,192
McKinney,Texas,TX,mckinney,309200,1394,182055
Wardell,Missouri,MO,wardell,49700,488,295
Clifton Springs,New York,NY,clifton-springs,113800,630,2173
Seneca,Oregon,OR,seneca,70000,619,262
Milton,Iowa,IA,milton,43500,738,481
Woodward,Iowa,IA,woodward,137500,763,1243
Peck,Idaho,ID,peck,126800,667,141
Castleford,Idaho,ID,castleford,55900,796,221
Sumner,Illinois,IL,sumner,43800,555,3056
Boones Mill,Virginia,VA,boones-mill,157100,810,169
Troutville,Virginia,VA,troutville,170500,859,473
Gordonsville,Virginia,VA,gordonsville,192300,941,1758
Heath Springs,South Carolina,SC,heath-springs,116200,600,771
Mount Juliet,Tennessee,TN,mount-juliet,274800,1424,34377
Midland,Texas,TX,midland,219500,1262,138549
Odessa,Texas,TX,odessa,151500,1091,119702
Rattan,Oklahoma,OK,rattan,71100,444,323
Granite,Oklahoma,OK,granite,67900,418,1913
Saco,Montana,MT,saco,53900,367,244
Autryville,North Carolina,NC,autryville,88800,717,211
Wabbaseka,Arkansas,AR,wabbaseka,54500,621,238
