name,abbrev,slug,year,Median home price,Median rent,Population
Alabama,AL,al,2010,117600,644,4712651
Alabama,AL,al,2011,120800,674,4747424
Alabama,AL,al,2012,122300,691,4777326
Alabama,AL,al,2013,122500,705,4799277
Alabama,AL,al,2014,123800,715,4817678
Alabama,AL,al,2015,125500,717,4830620
Alabama,AL,al,2016,128500,728,4841164
Alabama,AL,al,2017,132100,747,4850771
Alabama,AL,al,2018,137200,772,4864680
Alabama,AL,al,2019,142700,792,4876250
Alaska,AK,ak,2010,229100,972,691189
Alaska,AK,ak,2011,235100,1017,700703
Alaska,AK,ak,2012,237900,1065,711139
Alaska,AK,ak,2013,241800,1098,720316
Alaska,AK,ak,2014,246300,1131,728300
Alaska,AK,ak,2015,250000,1146,733375
Alaska,AK,ak,2016,257100,1173,736855
Alaska,AK,ak,2017,261900,1200,738565
Alaska,AK,ak,2018,265200,1231,738516
Alaska,AK,ak,2019,270400,1244,737068
Arizona,AZ,az,2010,215000,856,6246816
Arizona,AZ,az,2011,197400,881,6337373
Arizona,AZ,az,2012,175900,891,6410979
Arizona,AZ,az,2013,165100,896,6479703
Arizona,AZ,az,2014,162900,905,6561516
Arizona,AZ,az,2015,167500,913,6641928
Arizona,AZ,az,2016,176900,937,6728577
Arizona,AZ,az,2017,193200,972,6809946
Arizona,AZ,az,2018,209600,1009,6946685
Arizona,AZ,az,2019,225500,1052,7050299
Arkansas,AR,ar,2010,102300,617,2872684
Arkansas,AR,ar,2011,105100,637,2895928
Arkansas,AR,ar,2012,106300,649,2916372
Arkansas,AR,ar,2013,107300,661,2933369
Arkansas,AR,ar,2014,108700,675,2947036
Arkansas,AR,ar,2015,111400,677,2958208
Arkansas,AR,ar,2016,114700,689,2968472
Arkansas,AR,ar,2017,118500,709,2977944
Arkansas,AR,ar,2018,123300,729,2990671
Arkansas,AR,ar,2019,127800,745,2999370
California,CA,ca,2010,458500,1147,36637290
California,CA,ca,2011,421600,1185,36969200
California,CA,ca,2012,383900,1209,37325068
California,CA,ca,2013,366400,1224,37659181
California,CA,ca,2014,371400,1243,38066920
California,CA,ca,2015,385500,1255,38421464
California,CA,ca,2016,409300,1297,38654206
California,CA,ca,2017,443400,1358,38982847
California,CA,ca,2018,475900,1429,39148760
California,CA,ca,2019,505000,1503,39283497
Colorado,CO,co,2010,236600,852,4887061
Colorado,CO,co,2011,236700,883,4966061
Colorado,CO,co,2012,236800,915,5042853
Colorado,CO,co,2013,236200,939,5119329
Colorado,CO,co,2014,239400,969,5197580
Colorado,CO,co,2015,247800,1002,5278906
Colorado,CO,co,2016,264600,1057,5359295
Colorado,CO,co,2017,286100,1125,5436519
Colorado,CO,co,2018,313600,1196,5531141
Colorado,CO,co,2019,343300,1271,5610349
Connecticut,CT,ct,2010,296500,982,3545837
Connecticut,CT,ct,2011,293100,1020,3558172
Connecticut,CT,ct,2012,285900,1044,3572213
Connecticut,CT,ct,2013,278900,1056,3583561
Connecticut,CT,ct,2014,274500,1069,3592053
Connecticut,CT,ct,2015,270500,1075,3593222
Connecticut,CT,ct,2016,269300,1094,3588570
Connecticut,CT,ct,2017,270100,1123,3594478
Connecticut,CT,ct,2018,272700,1156,3581504
Connecticut,CT,ct,2019,275400,1180,3575074
Delaware,DE,de,2010,242300,938,881278
Delaware,DE,de,2011,244100,975,890856
Delaware,DE,de,2012,241100,985,900131
Delaware,DE,de,2013,235800,999,908446
Delaware,DE,de,2014,232900,1012,917060
Delaware,DE,de,2015,231500,1018,926454
Delaware,DE,de,2016,233100,1039,934695
Delaware,DE,de,2017,238600,1076,943732
Delaware,DE,de,2018,244700,1110,949495
Delaware,DE,de,2019,251100,1130,957248
District of Columbia,DC,dc,2010,443300,1063,584400
District of Columbia,DC,dc,2011,442600,1135,593955
District of Columbia,DC,dc,2012,443000,1200,605759
District of Columbia,DC,dc,2013,445200,1242,619371
District of Columbia,DC,dc,2014,454500,1302,633736
District of Columbia,DC,dc,2015,475800,1327,647484
District of Columbia,DC,dc,2016,506100,1362,659009
District of Columbia,DC,dc,2017,537400,1424,672391
District of Columbia,DC,dc,2018,568400,1487,684498
District of Columbia,DC,dc,2019,601500,1541,692683
Florida,FL,fl,2010,205600,957,18511620
Florida,FL,fl,2011,188600,981,18688787
Florida,FL,fl,2012,170800,987,18885152
Florida,FL,fl,2013,160200,990,19091156
Florida,FL,fl,2014,156200,998,19361792
Florida,FL,fl,2015,159000,1002,19645772
Florida,FL,fl,2016,166800,1032,19934451
Florida,FL,fl,2017,178700,1077,20278447
Florida,FL,fl,2018,196800,1128,20598139
Florida,FL,fl,2019,215300,1175,20901636
Georgia,GA,ga,2010,161400,808,9468815
Georgia,GA,ga,2011,160200,835,9600612
Georgia,GA,ga,2012,156400,849,9714569
Georgia,GA,ga,2013,151300,860,9810417
Georgia,GA,ga,2014,148000,874,9907756
Georgia,GA,ga,2015,148100,879,10006693
Georgia,GA,ga,2016,152400,897,10099320
Georgia,GA,ga,2017,158400,927,10201635
Georgia,GA,ga,2018,166800,968,10297484
Georgia,GA,ga,2019,176000,1006,10403847
Hawaii,HI,hi,2010,537400,1260,1333591
Hawaii,HI,hi,2011,529500,1313,1346554
Hawaii,HI,hi,2012,517000,1354,1362730
Hawaii,HI,hi,2013,503100,1380,1376298
Hawaii,HI,hi,2014,504500,1417,1392704
Hawaii,HI,hi,2015,515300,1438,1406299
Hawaii,HI,hi,2016,538400,1456,1413673
Hawaii,HI,hi,2017,563900,1507,1421658
Hawaii,HI,hi,2018,587700,1566,1422029
Hawaii,HI,hi,2019,615300,1617,1422094
Idaho,ID,id,2010,172700,689,1526797
Idaho,ID,id,2011,171300,709,1549987
Idaho,ID,id,2012,167100,720,1567803
Idaho,ID,id,2013,162100,728,1583364
Idaho,ID,id,2014,160500,738,1599464
Idaho,ID,id,2015,162900,743,1616547
Idaho,ID,id,2016,167900,764,1635483
Idaho,ID,id,2017,176800,792,1657375
Idaho,ID,id,2018,192300,825,1687809
Idaho,ID,id,2019,212300,853,1717750
Illinois,IL,il,2010,202500,834,12745359
Illinois,IL,il,2011,198500,860,12790182
Illinois,IL,il,2012,190800,877,12823860
Illinois,IL,il,2013,182300,890,12848554
Illinois,IL,il,2014,175700,903,12868747
Illinois,IL,il,2015,173800,907,12873761
Illinois,IL,il,2016,174800,925,12851684
Illinois,IL,il,2017,179700,952,12854526
Illinois,IL,il,2018,187200,984,12821497
Illinois,IL,il,2019,194500,1010,12770631
Indiana,IN,in,2010,123000,683,6417398
Indiana,IN,in,2011,123300,704,6454254
Indiana,IN,in,2012,123400,719,6485530
Indiana,IN,in,2013,122800,730,6514861
Indiana,IN,in,2014,122700,741,6542411
Indiana,IN,in,2015,124200,745,6568645
Indiana,IN,in,2016,126500,758,6589578
Indiana,IN,in,2017,130200,782,6614418
Indiana,IN,in,2018,135400,807,6637426
Indiana,IN,in,2019,141700,826,6665703
Iowa,IA,ia,2010,119200,617,3016267
Iowa,IA,ia,2011,121300,637,3032266
Iowa,IA,ia,2012,123000,655,3047646
Iowa,IA,ia,2013,124300,670,3062553
Iowa,IA,ia,2014,126300,689,3078116
Iowa,IA,ia,2015,129200,697,3093526
Iowa,IA,ia,2016,132800,715,3106589
Iowa,IA,ia,2017,137200,740,3118102
Iowa,IA,ia,2018,142300,766,3132499
Iowa,IA,ia,2019,147800,789,3139508
Kansas,KS,ks,2010,122600,671,2809329
Kansas,KS,ks,2011,125500,699,2830985
Kansas,KS,ks,2012,127400,715,2851183
Kansas,KS,ks,2013,128400,732,2868107
Kansas,KS,ks,2014,129400,748,2882946
Kansas,KS,ks,2015,132000,757,2892987
Kansas,KS,ks,2016,135300,775,2898292
Kansas,KS,ks,2017,139200,801,2903820
Kansas,KS,ks,2018,145400,831,2908776
Kansas,KS,ks,2019,151900,850,2910652
Kentucky,KY,ky,2010,116800,601,4285828
Kentucky,KY,ky,2011,118700,623,4316040
Kentucky,KY,ky,2012,120000,638,4340167
Kentucky,KY,ky,2013,120400,655,4361333
Kentucky,KY,ky,2014,121600,667,4383272
Kentucky,KY,ky,2015,123200,675,4397353
Kentucky,KY,ky,2016,126100,690,4411989
Kentucky,KY,ky,2017,130000,713,4424376
Kentucky,KY,ky,2018,135300,741,4440204
Kentucky,KY,ky,2019,141000,763,4449052
Louisiana,LA,la,2010,130000,712,4429940
Louisiana,LA,la,2011,135400,745,4484596
Louisiana,LA,la,2012,137700,762,4529605
Louisiana,LA,la,2013,138900,773,4567968
Louisiana,LA,la,2014,140400,786,4601049
Louisiana,LA,la,2015,144100,788,4625253
Louisiana,LA,la,2016,148300,800,4645670
Louisiana,LA,la,2017,152900,825,4663461
Louisiana,LA,la,2018,157800,850,4663616
Louisiana,LA,la,2019,163100,866,4664362
Maine,ME,me,2010,176200,707,1327665
Maine,ME,me,2011,176600,736,1328543
Maine,ME,me,2012,175600,750,1329084
Maine,ME,me,2013,174500,764,1328320
Maine,ME,me,2014,173600,772,1328535
Maine,ME,me,2015,173800,777,1329100
Maine,ME,me,2016,176000,790,1329923
Maine,ME,me,2017,179900,808,1330158
Maine,ME,me,2018,184500,831,1332813
Maine,ME,me,2019,190400,853,1335492
Maryland,MD,md,2010,329400,1091,5696423
Maryland,MD,md,2011,319800,1139,5736545
Maryland,MD,md,2012,304900,1172,5785496
Maryland,MD,md,2013,292700,1196,5834299
Maryland,MD,md,2014,287500,1218,5887776
Maryland,MD,md,2015,286900,1230,5930538
Maryland,MD,md,2016,290400,1264,5959902
Maryland,MD,md,2017,296500,1311,5996079
Maryland,MD,md,2018,305500,1357,6003435
Maryland,MD,md,2019,314800,1392,6018848
Massachusetts,MA,ma,2010,352300,1006,6477096
Massachusetts,MA,ma,2011,343500,1037,6512227
Massachusetts,MA,ma,2012,335500,1056,6560595
Massachusetts,MA,ma,2013,330100,1069,6605058
Massachusetts,MA,ma,2014,329900,1088,6657291
Massachusetts,MA,ma,2015,333100,1102,6705586
Massachusetts,MA,ma,2016,341000,1129,6742143
Massachusetts,MA,ma,2017,352600,1173,6789319
Massachusetts,MA,ma,2018,366800,1225,6830193
Massachusetts,MA,ma,2019,381600,1282,6850553
Michigan,MI,mi,2010,144200,723,9952687
Michigan,MI,mi,2011,137300,742,9920621
Michigan,MI,mi,2012,128600,755,9897264
Michigan,MI,mi,2013,121700,768,9886095
Michigan,MI,mi,2014,120200,780,9889024
Michigan,MI,mi,2015,122400,783,9900571
Michigan,MI,mi,2016,127800,799,9909600
Michigan,MI,mi,2017,136400,824,9925568
Michigan,MI,mi,2018,146200,850,9957488
Michigan,MI,mi,2019,154900,871,9965265
Minnesota,MN,mn,2010,206200,759,5241914
Minnesota,MN,mn,2011,201400,783,5278190
Minnesota,MN,mn,2012,194300,802,5313081
Minnesota,MN,mn,2013,187900,819,5347740
Minnesota,MN,mn,2014,185200,835,5383661
Minnesota,MN,mn,2015,186200,848,5419171
Minnesota,MN,mn,2016,191500,873,5450868
Minnesota,MN,mn,2017,199700,906,5490726
Minnesota,MN,mn,2018,211800,944,5527358
Minnesota,MN,mn,2019,223900,977,5563378
Mississippi,MS,ms,2010,96500,648,2941991
Mississippi,MS,ms,2011,99200,680,2956700
Mississippi,MS,ms,2012,100200,688,2967620
Mississippi,MS,ms,2013,99900,702,2976872
Mississippi,MS,ms,2014,100800,714,2984345
Mississippi,MS,ms,2015,103100,717,2988081
Mississippi,MS,ms,2016,105700,723,2989192
Mississippi,MS,ms,2017,109300,740,2986220
Mississippi,MS,ms,2018,114500,762,2988762
Mississippi,MS,ms,2019,119000,780,2984418
Missouri,MO,mo,2010,137700,667,5922314
Missouri,MO,mo,2011,138900,693,5955802
Missouri,MO,mo,2012,138400,712,5982413
Missouri,MO,mo,2013,137000,727,6007182
Missouri,MO,mo,2014,136700,740,6028076
Missouri,MO,mo,2015,138400,746,6045448
Missouri,MO,mo,2016,141200,759,6059651
Missouri,MO,mo,2017,145400,784,6075300
Missouri,MO,mo,2018,151600,809,6090062
